name,calories,protein,carbohydrate,fat,vitaminc,ingredients
แกงคั่ว สับปะรดกุ้ง,395,13.4,25.5,29.4,74.378,"pineapple, shrimp, red curry paste, fish sauce, sugar, kaffir lime leave, coconut milk"
ข้าวราด ผัดกะเพรา อกไก่,466,37.6,52.7,11,8.6,"rice, basil, chicken, oil, chili, soy sauce, oyster sauce,sugar, salt, peper"
ต้มยำ กุ้ง,874,161.9,52.5,5.5,68.27,"shrimp, mushroom, lemon grass, kaffir lime leave, chili, coriander, spring onion,onion , galagal, salt, fish sauce, lemon juice, water, chili paste, milk"
ไข่เจียว กุ้งสับ,283,36.5,0.9,14.3,0,"egg, fish sauce, shrimp, oil"
ปลาดอลลี่อบผลไม้,138,23.2,6.8,1.7,47,"dory fish, pineapple, apple, salt"
แซนวิชหมูหยองครีมสลัด,780,36,132,12,0,"bread, mayonnaise, shredded pork, cream"
ซูชิ แซลม่อน,84,7.5,9.8,1.4,0,"salmon, soy sauce, japanese rice"
ซูชิ ทูน่า,77,8,9.8,0.2,0,"tuna, mayonnaise, japanese rice"
ซูชิ ซาบะ,106,6.3,9.8,4.2,0.3,"mackerel, japanese rice"
แกงจืด ฟัก อกไก่,559,63.2,12.5,27.3,45.48," chicken, gourd, pepper, coriander root, coriander"
แกงเขียวหวาน อกไก่ ฟักทอง,438,32.9,12.1,27.9,12.2,"coconut milk, green curry paste, fish sauce, sugar, salt,
eggplant, chili,
kaffir lime leave,
basil, chicken"
ไข่แฮมข้าวกล้องผัก,465,33.7,54.9,11.6,40.25,"rice, ham, egg, butter, lettuce"
อกไก่ ข้าวกล้อง ผัก,455,45.8,56.7,6,17.23,"rice, chicken, lettuce, pumpkin"
ซุปเต้าเจี้ยว,208,24.7,6.1,9.8,2.4,"red miso powder, sugar, tofu, salt"
ผัดขิง,348,27.4,28.7,14.4,13.5494,"ginger, black ear mushroom, chili, garlic, oil, soy sauce, sugar, salt"
หมูหยอง,357,43.1,33.3,5.7,0,dried shredded pork
หมู ลูกชิ้น ทอด,372,13.9,16.4,27.9,0,"pork, flour, sugar, salt, soy sauce"
หมูยอ,341,13.1,3.6,30.5,0,"pork, flour, salt sugar, pepper"
ไส้กรอกเวียนนา ไก่,335,12.4,1.7,31,0,"chicken, sausage"
ไส้กรอกเวียนนา หมู,263,14.5,2.1,21.8,0,"pork, sausage"
ไส้กรอกหมู ทอด,409,9.3,20.4,32.2,0,"pork, oil, flour"
กระเพาะปลา ทอด,682,38.3,0,58.8,0,"fish, oil, fish sauce, sugar, soy sauce, ginger, pepper, coriander"
ปลาทู นึ่ง,136,24.9,0,4,0,mackerel
ปลาทูน่า ในน้ำมัน,218,23.5,0.5,13.5,0,"tuna, oil"
ปลาทูน่า ในน้ำสลัด,86,13.4,2.9,2.3,0,"tuna, cream salad"
แกงจืดเต้าหู้หมูสับใส่ผัก,320,43.8,7.4,14.2,5.18,"egg tofu, carrot, salt, spring onion, pork, soy sauce, fish sauce, sugar"
